model,model_label,date,observed_cases,predicted_cases,population,observed_incidence_per_100k,predicted_incidence_per_100k
S6,S6 rainfall-region,2020-05-04,134,182.68148380982947,17098585,0.7836905802439207,1.068401179453326
S6,S6 rainfall-region,2020-05-11,127,191.53170641399416,17098585,0.7427515200819249,1.1201611502588908
S6,S6 rainfall-region,2020-05-18,151,125.12609193683228,17098585,0.8831140120659107,0.7317920865196289
S6,S6 rainfall-region,2020-05-25,98,108.79884773393627,17098585,0.5731468422679421,0.6363032247050634
S6,S6 rainfall-region,2020-06-01,76,92.62750002094651,17098585,0.4444812246159551,0.5417261137161146
S6,S6 rainfall-region,2020-06-08,88,77.51082539270509,17098585,0.5146624706079479,0.4533171919939872
S6,S6 rainfall-region,2020-06-15,97,95.88961826105347,17098585,0.5672984051019426,0.5608044072714408
S6,S6 rainfall-region,2020-06-22,90,57.496376671981565,17098585,0.5263593449399467,0.33626394623871836
S6,S6 rainfall-region,2020-06-29,82,58.978942947793726,17098585,0.4795718476119515,0.34493464194723555
S6,S6 rainfall-region,2020-07-06,82,60.72828727904399,17098585,0.4795718476119515,0.35516557235025
S6,S6 rainfall-region,2020-07-13,82,64.16283155550752,17098585,0.4795718476119515,0.37525228874498984
S6,S6 rainfall-region,2020-07-20,89,61.62575431477087,17098585,0.5205109077739474,0.3604143519172544
S6,S6 rainfall-region,2020-07-27,64,43.594246780778825,17098585,0.3742999786239622,0.25495821309645694
S6,S6 rainfall-region,2020-08-03,42,48.774868343333715,17098585,0.24563436097197516,0.28525675278588086
S6,S6 rainfall-region,2020-08-10,38,56.23195119174538,17098585,0.22224061230797754,0.32886903326646844
S6,S6 rainfall-region,2020-08-17,48,59.4943155053225,17098585,0.28072498396797163,0.34794876596702295
S6,S6 rainfall-region,2020-08-24,38,45.360353557343934,17098585,0.22224061230797754,0.26528717760764375
S6,S6 rainfall-region,2020-08-31,74,41.8776370540644,17098585,0.43278435028395623,0.24491872897122421
S6,S6 rainfall-region,2020-09-07,59,43.98627771831981,17098585,0.3450577927939651,0.25725098140179326
S6,S6 rainfall-region,2020-09-14,59,46.84819728552157,17098585,0.3450577927939651,0.27398873816471697
S6,S6 rainfall-region,2020-09-21,56,44.84219875650965,17098585,0.3275124812959669,0.2622567818127035
S6,S6 rainfall-region,2020-09-28,54,65.82441595918822,17098585,0.3158156069639681,0.38496996072592093
S6,S6 rainfall-region,2020-10-05,48,51.99619679193173,17098585,0.28072498396797163,0.30409648980855275
S6,S6 rainfall-region,2020-10-12,57,68.79136837771784,17098585,0.3333609184619663,0.40232199552020154
S6,S6 rainfall-region,2020-10-19,72,61.365825702987365,17098585,0.42108747595195745,0.3588941757635931
S6,S6 rainfall-region,2020-10-26,51,59.67848885690045,17098585,0.2982702954659699,0.34902589224137814
S6,S6 rainfall-region,2020-11-02,51,64.43169687310527,17098585,0.2982702954659699,0.3768247306610767
S6,S6 rainfall-region,2020-11-09,72,58.705289468632095,17098585,0.42108747595195745,0.34333419676910165
S6,S6 rainfall-region,2020-11-16,70,92.06590174341288,17098585,0.4093906016199586,0.5384416414774257
S6,S6 rainfall-region,2020-11-23,55,71.29334666226508,17098585,0.32166404412996746,0.416954658308071
S6,S6 rainfall-region,2020-11-30,73,78.3500108480515,17098585,0.42693591311795687,0.4582251154002012
S6,S6 rainfall-region,2020-12-07,56,103.91383999450582,17098585,0.3275124812959669,0.6077335638855836
S6,S6 rainfall-region,2020-12-14,39,67.8030369997041,17098585,0.22808904947397696,0.3965418015567025
S6,S6 rainfall-region,2020-12-21,32,78.85250874775538,17098585,0.1871499893119811,0.4611639427926661
S6,S6 rainfall-region,2021-01-04,55,72.6738499622621,17098585,0.32166404412996746,0.42502844511555843
S6,S6 rainfall-region,2021-01-11,55,76.63131265400659,17098585,0.32166404412996746,0.448173417005013
S6,S6 rainfall-region,2021-01-18,67,69.02094491170406,17098585,0.39184529012196034,0.4036646594540078
S6,S6 rainfall-region,2021-02-01,57,90.47789958401134,17098585,0.3333609184619663,0.5291543106286943
S6,S6 rainfall-region,2021-02-08,66,96.82715939547167,17098585,0.38599685295596103,0.5662875576866254
S6,S6 rainfall-region,2021-02-15,62,98.07314240409917,17098585,0.36260310429196335,0.5735746110224862
S6,S6 rainfall-region,2021-03-29,253,147.54057472553475,17098585,1.4796546029978503,0.8628817807177306
S6,S6 rainfall-region,2021-04-05,320,195.02603823407173,17098585,1.871499893119811,1.140597530345767
S6,S6 rainfall-region,2021-04-12,237,224.96119168930872,17098585,1.3860796083418598,1.3156713943832703
S6,S6 rainfall-region,2021-04-19,228,215.41329781221725,17098585,1.3334436738478652,1.2598311369754707
S6,S6 rainfall-region,2021-04-26,229,212.7280465173072,17098585,1.3392921110138647,1.2441266135022706
S6,S6 rainfall-region,2021-05-03,176,268.7765533816688,17098585,1.0293249412158958,1.571922784146576
S6,S6 rainfall-region,2021-05-10,172,223.71879098310757,17098585,1.0059311925518983,1.3084052919180598
S6,S6 rainfall-region,2021-05-17,197,173.79960107284188,17098585,1.1521421217018835,1.0164560463502792
S6,S6 rainfall-region,2021-05-24,150,160.4344434929847,17098585,0.8772655748999113,0.9382907620308039
S6,S6 rainfall-region,2021-05-31,181,98.01625719212312,17098585,1.058567127045893,0.5732419214345696
