date,year,week,total_cases,municipalities,state_population,incidence_per_100k,rolling_4wk_incidence_per_100k
2022-07-25,2022,30,394,92,17195818.0,2.2912547690374483,2.369762229397869
2022-08-01,2022,31,353,92,17195818.0,2.052824704239135,2.138601373892187
2022-08-08,2022,32,286,92,17195818.0,1.663195086154087,1.9147097276791367
2022-08-15,2022,33,284,92,17195818.0,1.6515643512858766,1.7039026581928234
2022-08-22,2022,34,249,92,17195818.0,1.4480264910921947,1.5207185840185098
2022-08-29,2022,35,227,92,17195818.0,1.3200884075418802,1.440757281799563
2022-09-05,2022,36,231,92,17195818.0,1.343349877278301,1.439303439941037
2022-09-12,2022,37,283,92,17195818.0,1.6457489838517714,1.4611110678189312
2022-09-19,2022,38,264,92,17195818.0,1.5352570026037726,1.4741956445456679
2022-09-26,2022,39,236,92,17195818.0,1.3724267144488271,1.541072370037878
2022-10-03,2022,40,277,92,17195818.0,1.6108567792471402,1.5948645188033508
2022-10-10,2022,41,320,92,17195818.0,1.8609175789136638,1.735887179080402
2022-10-17,2022,42,361,92,17195818.0,2.099347643711977,1.8870867323671372
2022-10-24,2022,43,340,92,17195818.0,1.9772249275957676,2.0019402391907146
2022-10-31,2022,44,356,92,17195818.0,2.0702708065414512,2.103709169287556
2022-11-07,2022,45,390,92,17195818.0,2.2679932993010277,2.089170750702293
2022-11-14,2022,46,351,92,17195818.0,2.041193969370925,2.017932499634504
2022-11-21,2022,47,291,92,17195818.0,1.6922719233246128,1.916163569537663
2022-11-28,2022,48,286,92,17195818.0,1.663195086154087,1.779502434836191
2022-12-05,2022,49,296,92,17195818.0,1.721348760495139,1.7387948627974545
2022-12-12,2022,50,323,92,17195818.0,1.8783636812159794,1.7824101185532435
2022-12-19,2022,51,321,92,17195818.0,1.8667329463477689,1.9452404067081892
2022-12-26,2022,52,398,92,17195818.0,2.3145162387738694,2.4410004804656573
2023-01-02,2023,1,637,92,17195818.0,3.704389055525012,2.9934603867056513
2023-01-09,2023,2,703,92,17195818.0,4.088203306175956,3.704389055525012
2023-01-16,2023,3,810,92,17195818.0,4.710447621625212,4.586871063650476
2023-01-23,2023,4,1005,92,17195818.0,5.844444271275726,5.502791434522045
2023-01-30,2023,5,1267,92,17195818.0,7.368070539011287,6.953725609331292
2023-02-06,2023,6,1701,92,17195818.0,9.891940005412943,7.775146259398651
2023-02-13,2023,7,1375,92,17195818.0,7.996130221894648,8.779750983640323
2023-02-20,2023,8,1696,92,17195818.0,9.862863168242418,10.530176581305989
2023-02-27,2023,9,2471,92,17195818.0,14.369772929673948,12.104687314089972
2023-03-06,2023,10,2784,92,17195818.0,16.189982936548873,14.94549430565036
2023-03-13,2023,11,3329,92,17195818.0,19.35935818813621,17.925870115629277
2023-03-20,2023,12,3746,92,17195818.0,21.78436640815808,19.971425610575782
2023-03-27,2023,13,3878,92,17195818.0,22.551994909459964,21.23626802749366
2023-04-03,2023,14,3654,92,17195818.0,21.249352604220398,22.61160242565954
2023-04-10,2023,15,4275,92,17195818.0,24.860695780799727,22.34554936554923
2023-04-17,2023,16,3563,92,17195818.0,20.720154167716824,21.91957370100102
2023-04-24,2023,17,3585,92,17195818.0,20.84809225126714,22.5374564908747
2023-05-01,2023,18,4079,92,17195818.0,23.720883763715108,21.827981663913867
2023-05-08,2023,19,3787,92,17195818.0,22.02279647295639,21.654974482749235
2023-05-15,2023,20,3444,92,17195818.0,20.028125443058308,20.791392418784614
2023-05-22,2023,21,2991,92,17195818.0,17.39376399540865,18.740021556404006
2023-05-29,2023,22,2668,92,17195818.0,15.515400314192673,16.91108849837792
2023-06-05,2023,23,2529,92,17195818.0,14.707064240852048,15.772730323151826
2023-06-12,2023,24,2661,92,17195818.0,15.474692742153934,14.88734063130931
2023-06-19,2023,25,2382,92,17195818.0,13.852205228038585,13.77515160953669
2023-06-26,2023,26,1903,92,17195818.0,11.066644227102195,12.40417873694639
2023-07-03,2023,27,1586,92,17195818.0,9.223172750490846,10.562161102193569
2023-07-10,2023,28,1394,92,17195818.0,8.106622203142647,8.887335281171271
2023-07-17,2023,29,1230,92,17195818.0,7.152901943949394,7.676285013018863
2023-07-24,2023,30,1070,92,17195818.0,6.222443154492563,7.026417702257606
2023-07-31,2023,31,1139,92,17195818.0,6.623703507445823,6.492857740178455
2023-08-07,2023,32,1027,92,17195818.0,5.97238235482604,6.202089368473195
2023-08-14,2023,33,1030,92,17195818.0,5.989828457128355,6.093051229083723
2023-08-21,2023,34,995,92,17195818.0,5.786290596934673,5.707783136574253
2023-08-28,2023,35,874,92,17195818.0,5.082631137407945,5.4824376485026765
2023-09-04,2023,36,872,92,17195818.0,5.071000402539734,5.620552625062675
2023-09-11,2023,37,1125,92,17195818.0,6.542288363368349,5.8139135922466725
