municipio,ibge_code,year,week,date,cases,rainfall_lag,temperature_lag,fitted_mu,nb_size,nb_variance,pearson_residual,residual_direction
laje do muriae,3302304,2020,17,2020-04-20,0,37.9155549,24.5918367143,0.103473909803084,0.978497577725951,0.114416042163616,-0.305905580020613,overpredicted
laje do muriae,3302304,2020,18,2020-04-27,0,36.1322215,27.255102,0.122316302261553,0.978497577725951,0.137606353192194,-0.329735039935932,overpredicted
laje do muriae,3302304,2020,19,2020-05-04,0,38.185,25.8809525714,0.140902287889005,0.978497577725951,0.161192021031213,-0.350950830701538,overpredicted
laje do muriae,3302304,2020,20,2020-05-11,0,21.743889,27.4166665714,0.114362795363877,0.978497577725951,0.127729051204627,-0.319992588230162,overpredicted
laje do muriae,3302304,2020,21,2020-05-18,0,21.5577778,25.4004331429,0.0877294763602739,0.978497577725951,0.0955950666260511,-0.283744725379231,overpredicted
laje do muriae,3302304,2020,22,2020-05-25,0,18.4411108,25.3095242857,0.0719845337047066,0.978497577725951,0.0772801759327912,-0.258943578034988,overpredicted
laje do muriae,3302304,2020,23,2020-06-01,0,15.8311108,25.4761905714,0.0634159374594627,0.978497577725951,0.0675258925737193,-0.244041255233188,overpredicted
laje do muriae,3302304,2020,24,2020-06-08,0,13.37944435,26.2023805714,0.0660534007778773,0.978497577725951,0.0705123303180635,-0.24874974744421,overpredicted
laje do muriae,3302304,2020,25,2020-06-15,0,10.69055575,23.8809522857,0.0597442830077733,0.978497577725951,0.0633920992449972,-0.237289645013824,overpredicted
laje do muriae,3302304,2020,26,2020-06-22,0,11.655,23.7761902857,0.0474082780024268,0.978497577725951,0.0497052124806692,-0.21264403937664,overpredicted
laje do muriae,3302304,2020,27,2020-06-29,0,10.6394444,24.904762,0.0606146326197974,0.978497577725951,0.0643695051624273,-0.238911685395974,overpredicted
laje do muriae,3302304,2020,28,2020-07-06,0,8.4666666,23.1761902857,0.0569531380518321,0.978497577725951,0.0602680772073171,-0.231992524169484,overpredicted
laje do muriae,3302304,2020,29,2020-07-13,0,7.385,24.2380954286,0.0545879599756346,0.978497577725951,0.0576332872632368,-0.22738413963381,overpredicted
laje do muriae,3302304,2020,30,2020-07-20,0,6.02722228,25.9309525714,0.0581154271849615,0.978497577725951,0.0615670482760834,-0.234216382081739,overpredicted
laje do muriae,3302304,2020,31,2020-07-27,0,5.22111122,23.1255408571,0.0449229297060012,0.978497577725951,0.0469853462712628,-0.207246333350459,overpredicted
laje do muriae,3302304,2020,32,2020-08-03,0,6.4944446,24.4642857143,0.0508573623906656,0.978497577725951,0.0535006712431478,-0.219874172101618,overpredicted
laje do muriae,3302304,2020,33,2020-08-10,0,4.6972223,22.9351887143,0.0496733192460721,0.978497577725951,0.0521949796988824,-0.217424667539663,overpredicted
laje do muriae,3302304,2020,34,2020-08-17,0,3.9172223,23.8801792857,0.0507919727207205,0.978497577725951,0.0534284886933589,-0.219739755009609,overpredicted
laje do muriae,3302304,2020,35,2020-08-24,0,3.7644446,23.8441554286,0.0485907447052867,0.978497577725951,0.0510036893305575,-0.215155652033121,overpredicted
laje do muriae,3302304,2020,36,2020-08-31,0,4.74777764,24.4324674286,0.0517154607555597,0.978497577725951,0.0544487213604305,-0.22162898402447,overpredicted
